Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
1980,CIN,4,ATL,1
1980,CIN,0,ATL,3
1980,CIN,6,ATL,1
1980,CIN,5,ATL,3
1980,SDP,2,ATL,3
1980,SDP,1,ATL,2
1980,SDP,7,ATL,8
1980,MON,7,ATL,8
1980,MON,4,ATL,3
1980,MON,3,ATL,6
1980,HOU,4,ATL,5
1980,HOU,3,ATL,2
1980,HOU,4,ATL,7
1980,PHI,3,ATL,7
1980,PHI,9,ATL,1
1980,NYM,5,ATL,3
1980,NYM,1,ATL,2
1980,NYM,2,ATL,1
1980,SFG,1,ATL,2
1980,SFG,3,ATL,6
1980,SFG,2,ATL,3
1980,LAD,5,ATL,0
1980,LAD,1,ATL,6
1980,LAD,3,ATL,1
1980,STL,8,ATL,5
1980,STL,2,ATL,5
1980,STL,4,ATL,3
1980,PIT,2,ATL,3
1980,PIT,4,ATL,5
1980,PIT,3,ATL,4
1980,CHC,4,ATL,2
1980,CHC,0,ATL,8
1980,CHC,3,ATL,2
1980,HOU,4,ATL,5
1980,HOU,4,ATL,13
1980,HOU,0,ATL,14
1980,HOU,5,ATL,3
1980,SDP,0,ATL,9
1980,SDP,2,ATL,3
1980,SDP,5,ATL,6
1980,CIN,8,ATL,6
1980,CIN,5,ATL,3
1980,NYM,9,ATL,2
1980,NYM,2,ATL,5
1980,NYM,6,ATL,0
1980,PHI,7,ATL,2
1980,PHI,2,ATL,5
1980,PHI,2,ATL,7
1980,PHI,2,ATL,3
1980,MON,8,ATL,6
1980,MON,5,ATL,7
1980,MON,5,ATL,6
1980,LAD,5,ATL,3
1980,LAD,4,ATL,6
1980,LAD,6,ATL,2
1980,LAD,3,ATL,4
1980,SFG,3,ATL,7
1980,SFG,5,ATL,4
1980,SFG,1,ATL,3
1980,CHC,4,ATL,5
1980,CHC,5,ATL,9
1980,CHC,4,ATL,6
1980,STL,7,ATL,4
1980,STL,2,ATL,7
1980,STL,5,ATL,10
1980,PIT,4,ATL,7
1980,PIT,2,ATL,3
1980,PIT,5,ATL,6
1980,CIN,6,ATL,1
1980,CIN,7,ATL,1
1980,CIN,3,ATL,0
1980,SDP,2,ATL,6
1980,SDP,3,ATL,5
1980,SDP,3,ATL,4
1980,LAD,0,ATL,9
1980,LAD,1,ATL,2
1980,HOU,2,ATL,4
1980,HOU,4,ATL,2
1980,SFG,3,ATL,5
1980,SFG,2,ATL,1
1980,KCR,2,BAL,12
1980,KCR,1,BAL,2
1980,KCR,2,BAL,5
1980,CHW,2,BAL,5
1980,CHW,5,BAL,4
1980,CHW,9,BAL,6
1980,NYY,4,BAL,3
1980,NYY,4,BAL,7
1980,MIN,4,BAL,2
1980,MIN,3,BAL,10
1980,MIN,6,BAL,8
1980,TEX,5,BAL,1
1980,TEX,2,BAL,4
1980,TEX,6,BAL,3
1980,DET,1,BAL,5
1980,DET,3,BAL,5
1980,DET,1,BAL,9
1980,DET,6,BAL,4
1980,CLE,3,BAL,7
1980,CLE,7,BAL,6
1980,CLE,10,BAL,6
1980,MIL,8,BAL,9
1980,MIL,3,BAL,0
1980,MIL,3,BAL,2
1980,CAL,2,BAL,5
1980,CAL,3,BAL,5
1980,OAK,2,BAL,3
1980,OAK,3,BAL,4
1980,SEA,3,BAL,1
1980,SEA,0,BAL,9
1980,SEA,7,BAL,5
1980,TOR,0,BAL,1
1980,TOR,3,BAL,6
1980,TOR,1,BAL,4
1980,BOS,5,BAL,2
1980,BOS,3,BAL,10
1980,BOS,1,BAL,0
1980,BOS,6,BAL,4
1980,KCR,1,BAL,3
1980,KCR,5,BAL,1
1980,KCR,8,BAL,4
1980,TEX,7,BAL,8
1980,TEX,11,BAL,8
1980,TEX,7,BAL,1
1980,MIL,5,BAL,0
1980,MIL,1,BAL,4
1980,MIL,4,BAL,5
1980,MIN,2,BAL,3
1980,MIN,2,BAL,9
1980,MIN,2,BAL,7
1980,CHW,2,BAL,8
1980,CHW,1,BAL,4
1980,CHW,1,BAL,2
1980,NYY,1,BAL,6
1980,NYY,4,BAL,3
1980,NYY,4,BAL,1
1980,NYY,0,BAL,1
1980,NYY,5,BAL,6
1980,CAL,8,BAL,13
1980,CAL,5,BAL,0
1980,CAL,12,BAL,6
1980,CAL,0,BAL,5
1980,SEA,4,BAL,5
1980,SEA,4,BAL,10
1980,SEA,1,BAL,5
1980,OAK,7,BAL,1
1980,OAK,7,BAL,8
1980,OAK,3,BAL,2
1980,OAK,5,BAL,2
1980,DET,8,BAL,3
1980,DET,3,BAL,9
1980,DET,3,BAL,7
1980,TOR,6,BAL,8
1980,TOR,1,BAL,6
1980,TOR,1,BAL,2
1980,BOS,5,BAL,3
1980,BOS,6,BAL,8
1980,BOS,9,BAL,12
1980,CLE,2,BAL,3
1980,CLE,6,BAL,4
1980,CLE,1,BAL,7
1980,DET,1,BOS,3
1980,DET,9,BOS,10
1980,DET,4,BOS,5
1980,TEX,6,BOS,5
1980,TEX,8,BOS,0
1980,TEX,5,BOS,6
1980,CHW,8,BOS,9
1980,CHW,2,BOS,0
1980,CHW,9,BOS,3
1980,KCR,6,BOS,5
1980,KCR,13,BOS,8
1980,KCR,2,BOS,5
1980,MIN,4,BOS,3
1980,MIN,5,BOS,10
1980,MIN,6,BOS,7
1980,CLE,1,BOS,4
1980,CLE,7,BOS,2
1980,CLE,3,BOS,2
1980,TOR,3,BOS,1
1980,TOR,4,BOS,5
1980,TOR,4,BOS,1
1980,MIL,3,BOS,5
