Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
2014,LAD,3,ARI,1
2014,LAD,7,ARI,5
2014,SFG,9,ARI,8
2014,SFG,4,ARI,5
2014,SFG,2,ARI,0
2014,SFG,8,ARI,5
2014,LAD,6,ARI,0
2014,LAD,8,ARI,5
2014,LAD,8,ARI,6
2014,NYM,7,ARI,3
2014,NYM,9,ARI,0
2014,NYM,5,ARI,2
2014,PHI,4,ARI,5
2014,PHI,6,ARI,5
2014,PHI,2,ARI,0
2014,COL,8,ARI,5
2014,COL,5,ARI,4
2014,COL,4,ARI,5
2014,WSN,6,ARI,5
2014,WSN,1,ARI,3
2014,WSN,5,ARI,1
2014,LAD,7,ARI,0
2014,LAD,7,ARI,18
2014,LAD,3,ARI,5
2014,SDP,5,ARI,7
2014,SDP,4,ARI,3
2014,SDP,6,ARI,12
2014,CIN,0,ARI,4
2014,CIN,6,ARI,4
2014,CIN,5,ARI,0
2014,CIN,4,ARI,3
2014,ATL,5,ARI,2
2014,ATL,3,ARI,4
2014,ATL,5,ARI,6
2014,HOU,4,ARI,3
2014,HOU,1,ARI,4
2014,MIL,9,ARI,3
2014,MIL,7,ARI,5
2014,MIL,3,ARI,4
2014,MIL,4,ARI,1
2014,SFG,1,ARI,4
2014,SFG,6,ARI,4
2014,SFG,4,ARI,1
2014,CLE,8,ARI,9
2014,CLE,6,ARI,1
2014,MIA,1,ARI,9
2014,MIA,2,ARI,1
2014,MIA,3,ARI,4
2014,CHC,4,ARI,5
2014,CHC,3,ARI,9
2014,CHC,2,ARI,3
2014,DET,4,ARI,3
2014,DET,4,ARI,5
2014,DET,11,ARI,5
2014,PIT,4,ARI,7
2014,PIT,9,ARI,4
2014,PIT,8,ARI,3
2014,PIT,2,ARI,3
2014,KCR,12,ARI,2
2014,KCR,4,ARI,3
2014,KCR,6,ARI,2
2014,COL,3,ARI,5
2014,COL,4,ARI,14
2014,COL,5,ARI,3
2014,SDP,1,ARI,5
2014,SDP,2,ARI,5
2014,SDP,7,ARI,4
2014,LAD,9,ARI,5
2014,LAD,3,ARI,1
2014,COL,2,ARI,5
2014,COL,2,ARI,0
2014,COL,2,ARI,6
2014,SDP,6,ARI,5
2014,SDP,4,ARI,10
2014,SDP,6,ARI,8
2014,SFG,2,ARI,6
2014,SFG,2,ARI,1
2014,SFG,4,ARI,2
2014,STL,7,ARI,6
2014,STL,2,ARI,5
2014,STL,1,ARI,0
2014,NYM,4,ATL,0
2014,NYM,3,ATL,4
2014,NYM,6,ATL,4
2014,WSN,6,ATL,7
2014,WSN,3,ATL,6
2014,WSN,2,ATL,10
2014,MIA,2,ATL,4
2014,MIA,1,ATL,0
2014,MIA,1,ATL,3
2014,CIN,4,ATL,5
2014,CIN,1,ATL,4
2014,CIN,0,ATL,1
2014,SFG,2,ATL,1
2014,SFG,3,ATL,1
2014,SFG,4,ATL,1
2014,STL,4,ATL,3
2014,STL,1,ATL,2
2014,STL,7,ATL,1
2014,CHC,2,ATL,3
2014,CHC,0,ATL,2
2014,CHC,2,ATL,5
2014,MIL,3,ATL,9
2014,MIL,0,ATL,5
2014,MIL,6,ATL,1
2014,MIL,4,ATL,5
2014,COL,2,ATL,3
2014,COL,3,ATL,1
2014,COL,0,ATL,7
2014,BOS,8,ATL,6
2014,BOS,6,ATL,3
2014,SEA,7,ATL,5
2014,SEA,2,ATL,0
2014,LAA,3,ATL,4
2014,LAA,11,ATL,6
2014,LAA,3,ATL,7
2014,PHI,6,ATL,1
2014,PHI,5,ATL,2
2014,PHI,10,ATL,5
2014,NYM,3,ATL,5
2014,NYM,4,ATL,5
2014,NYM,1,ATL,3
2014,ARI,2,ATL,5
2014,ARI,4,ATL,10
2014,ARI,3,ATL,1
2014,PHI,4,ATL,6
2014,PHI,2,ATL,1
2014,PHI,2,ATL,8
2014,MIA,3,ATL,1
2014,MIA,6,ATL,5
2014,MIA,1,ATL,6
2014,MIA,3,ATL,2
2014,SDP,5,ATL,2
2014,SDP,3,ATL,5
2014,SDP,3,ATL,8
2014,SDP,0,ATL,2
2014,WSN,6,ATL,7
2014,WSN,4,ATL,1
2014,WSN,1,ATL,3
2014,LAD,6,ATL,2
2014,LAD,4,ATL,2
2014,LAD,2,ATL,3
2014,LAD,6,ATL,4
2014,OAK,2,ATL,7
2014,OAK,3,ATL,4
2014,OAK,3,ATL,4
2014,MIA,2,ATL,5
2014,MIA,4,ATL,0
2014,MIA,0,ATL,1
2014,PHI,7,ATL,0
2014,PHI,4,ATL,0
2014,PHI,4,ATL,7
2014,WSN,4,ATL,2
2014,WSN,3,ATL,0
2014,WSN,1,ATL,3
2014,NYM,5,ATL,0
2014,NYM,4,ATL,2
2014,NYM,10,ATL,2
2014,PIT,1,ATL,0
2014,PIT,3,ATL,2
2014,PIT,2,ATL,6
2014,PIT,10,ATL,1
2014,BOS,1,BAL,2
2014,BOS,6,BAL,2
2014,BOS,4,BAL,3
2014,TOR,2,BAL,0
2014,TOR,1,BAL,2
2014,TOR,11,BAL,3
2014,TBR,1,BAL,7
2014,TBR,0,BAL,3
2014,KCR,5,BAL,0
2014,KCR,2,BAL,3
2014,KCR,9,BAL,3
2014,PIT,1,BAL,5
2014,PIT,5,BAL,6
2014,HOU,3,BAL,4
2014,HOU,4,BAL,5
2014,HOU,5,BAL,2
2014,DET,4,BAL,1
2014,DET,4,BAL,1
2014,DET,7,BAL,5
2014,CLE,8,BAL,7
2014,CLE,4,BAL,8
2014,CLE,9,BAL,0
2014,CLE,2,BAL,4
2014,OAK,4,BAL,3
2014,OAK,3,BAL,6
2014,OAK,11,BAL,1
2014,BOS,0,BAL,4
2014,BOS,1,BAL,0
2014,BOS,0,BAL,6
2014,TOR,2,BAL,4
2014,TOR,4,BAL,0
2014,TOR,2,BAL,3
2014,TOR,5,BAL,2
2014,CHW,4,BAL,6
2014,CHW,4,BAL,2
2014,CHW,4,BAL,5
2014,TBR,5,BAL,2
2014,TBR,1,BAL,4
2014,TBR,5,BAL,4
2014,TBR,12,BAL,7
2014,TEX,1,BAL,7
2014,TEX,3,BAL,8
2014,TEX,4,BAL,6
2014,TEX,2,BAL,5
2014,WSN,6,BAL,2
2014,WSN,3,BAL,4
2014,NYY,2,BAL,3
2014,NYY,3,BAL,0
2014,NYY,1,BAL,3
2014,LAA,6,BAL,7
2014,LAA,3,BAL,4
2014,LAA,1,BAL,0
2014,SEA,1,BAL,2
2014,SEA,6,BAL,3
2014,SEA,0,BAL,1
2014,STL,2,BAL,12
2014,STL,3,BAL,10
2014,STL,8,BAL,3
2014,NYY,3,BAL,11
2014,NYY,3,BAL,5
2014,TBR,1,BAL,9
2014,TBR,2,BAL,4
2014,TBR,3,BAL,1
2014,TBR,4,BAL,5
2014,MIN,1,BAL,9
2014,MIN,2,BAL,3
2014,MIN,8,BAL,12
2014,MIN,6,BAL,4
2014,CIN,4,BAL,5
2014,CIN,0,BAL,6
2014,CIN,7,BAL,9
2014,NYY,1,BAL,2
2014,NYY,0,BAL,5
2014,NYY,3,BAL,2
2014,NYY,2,BAL,3
2014,TOR,2,BAL,5
2014,TOR,2,BAL,8
2014,TOR,1,BAL,6
2014,BOS,5,BAL,3
2014,BOS,2,BAL,7
2014,BOS,3,BAL,2
2014,MIL,6,BOS,2
2014,MIL,7,BOS,6
2014,MIL,4,BOS,0
2014,TEX,1,BOS,5
2014,TEX,10,BOS,7
2014,TEX,2,BOS,4
2014,BAL,8,BOS,4
2014,BAL,2,BOS,4
2014,BAL,5,BOS,6
2014,BAL,7,BOS,6
2014,NYY,9,BOS,3
2014,NYY,1,BOS,5
2014,NYY,14,BOS,5
2014,TBR,4,BOS,7
2014,TBR,2,BOS,1
2014,TBR,6,BOS,5
2014,OAK,1,BOS,7
2014,OAK,3,BOS,6
2014,OAK,3,BOS,2
2014,CIN,3,BOS,4
2014,CIN,3,BOS,4
2014,DET,1,BOS,0
2014,DET,6,BOS,1
2014,DET,6,BOS,2
2014,TOR,7,BOS,4
2014,TOR,6,BOS,4
2014,TOR,7,BOS,2
