Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
SFG,4,ARI,5,1,0,0.52789388178935004,2012-04-06
SFG,4,ARI,5,1,0,0.52789388178935004,2012-04-07
SFG,6,ARI,7,1,0,0.52789388178935004,2012-04-08
PIT,1,ARI,5,1,1,0.57392776910174814,2012-04-16
PIT,5,ARI,4,0,1,0.57392776910174814,2012-04-17
PIT,2,ARI,1,0,1,0.57392776910174814,2012-04-18
ATL,10,ARI,2,0,0,0.52576229199104585,2012-04-19
ATL,9,ARI,1,0,0,0.52576229199104585,2012-04-20
ATL,3,ARI,2,0,0,0.52576229199104585,2012-04-21
ATL,4,ARI,6,1,0,0.52576229199104585,2012-04-22
PHI,5,ARI,9,1,1,0.55198346086718475,2012-04-23
PHI,8,ARI,5,0,1,0.55198346086718475,2012-04-24
PHI,7,ARI,2,0,1,0.55198346086718475,2012-04-25
STL,9,ARI,6,0,1,0.50078239731112151,2012-05-07
STL,6,ARI,1,0,1,0.50078239731112151,2012-05-08
STL,7,ARI,2,0,1,0.50078239731112151,2012-05-09
SFG,1,ARI,5,1,0,0.52789388178935004,2012-05-11
SFG,5,ARI,2,0,0,0.52789388178935004,2012-05-12
SFG,7,ARI,3,0,0,0.52789388178935004,2012-05-13
LAD,6,ARI,1,0,1,0.53100663608210219,2012-05-21
LAD,8,ARI,7,0,1,0.53100663608210219,2012-05-22
LAD,4,ARI,11,1,1,0.53100663608210219,2012-05-23
MIL,7,ARI,1,0,1,0.52578412641370065,2012-05-25
MIL,5,ARI,8,1,1,0.52578412641370065,2012-05-26
MIL,3,ARI,4,1,1,0.52578412641370065,2012-05-27
COL,4,ARI,0,0,1,0.64736950675970406,2012-06-04
COL,0,ARI,10,1,1,0.64736950675970406,2012-06-05
COL,1,ARI,6,1,1,0.64736950675970406,2012-06-06
OAK,8,ARI,9,1,0,0.53047190538415556,2012-06-08
OAK,3,ARI,8,1,0,0.53047190538415556,2012-06-09
OAK,3,ARI,4,1,0,0.53047190538415556,2012-06-10
SEA,1,ARI,7,1,1,0.56966743478124127,2012-06-18
SEA,12,ARI,9,0,1,0.56966743478124127,2012-06-19
SEA,10,ARI,14,1,1,0.56966743478124127,2012-06-20
CHC,1,ARI,6,1,1,0.67066177099994717,2012-06-22
CHC,5,ARI,10,1,1,0.67066177099994717,2012-06-23
CHC,1,ARI,5,1,1,0.67066177099994717,2012-06-24
SDP,6,ARI,2,0,1,0.57497556434245523,2012-07-02
SDP,9,ARI,5,0,1,0.57497556434245523,2012-07-03
SDP,8,ARI,6,0,1,0.57497556434245523,2012-07-04
LAD,4,ARI,1,0,1,0.53100663608210219,2012-07-05
LAD,3,ARI,5,1,1,0.53100663608210219,2012-07-06
LAD,3,ARI,5,1,1,0.53100663608210219,2012-07-07
LAD,1,ARI,7,1,1,0.53100663608210219,2012-07-08
HOU,8,ARI,13,1,1,0.68374614206052609,2012-07-20
HOU,3,ARI,12,1,1,0.68374614206052609,2012-07-21
HOU,2,ARI,8,1,1,0.68374614206052609,2012-07-22
COL,3,ARI,6,1,1,0.64736950675970406,2012-07-23
COL,2,ARI,6,1,1,0.64736950675970406,2012-07-24
COL,4,ARI,2,0,1,0.64736950675970406,2012-07-25
NYM,3,ARI,1,0,1,0.59197797000201391,2012-07-26
NYM,5,ARI,11,1,1,0.59197797000201391,2012-07-27
NYM,3,ARI,6,1,1,0.59197797000201391,2012-07-28
NYM,5,ARI,1,0,1,0.59197797000201391,2012-07-29
WSN,9,ARI,1,0,0,0.54213665197530791,2012-08-10
WSN,6,ARI,5,0,0,0.54213665197530791,2012-08-11
WSN,4,ARI,7,1,0,0.54213665197530791,2012-08-12
MIA,12,ARI,3,0,1,0.61909107961245591,2012-08-20
MIA,6,ARI,5,0,1,0.61909107961245591,2012-08-21
MIA,2,ARI,3,1,1,0.61909107961245591,2012-08-22
MIA,0,ARI,3,1,1,0.61909107961245591,2012-08-22
SDP,5,ARI,0,0,1,0.57497556434245523,2012-08-24
