ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,SFG,5,ARI,4,0,1,0.515375561759,2015-04-06
1,SFG,6,ARI,7,1,1,0.515375561759,2015-04-07
2,SFG,5,ARI,2,0,1,0.515375561759,2015-04-08
3,LAD,3,ARI,4,1,0,0.541178081418,2015-04-10
4,LAD,0,ARI,6,1,0,0.541178081418,2015-04-11
5,LAD,7,ARI,4,0,0,0.541178081418,2015-04-12
6,TEX,7,ARI,1,0,0,0.50665088253,2015-04-21
7,TEX,5,ARI,8,1,0,0.50665088253,2015-04-22
8,PIT,4,ARI,1,0,0,0.556958194687,2015-04-24
9,PIT,2,ARI,1,0,0,0.556958194687,2015-04-25
10,PIT,8,ARI,0,0,0,0.556958194687,2015-04-26
11,COL,5,ARI,4,0,1,0.611731711832,2015-04-27
12,COL,5,ARI,12,1,1,0.611731711832,2015-04-28
13,COL,1,ARI,9,1,1,0.611731711832,2015-04-29
14,SDP,0,ARI,11,1,1,0.575751009651,2015-05-07
15,SDP,6,ARI,5,0,1,0.575751009651,2015-05-08
16,SDP,6,ARI,4,0,1,0.575751009651,2015-05-09
17,SDP,1,ARI,2,1,1,0.575751009651,2015-05-10
18,WSN,11,ARI,1,0,1,0.517548176859,2015-05-11
19,WSN,6,ARI,14,1,1,0.517548176859,2015-05-12
20,WSN,9,ARI,6,0,1,0.517548176859,2015-05-13
21,CHC,4,ARI,5,1,0,0.551694009197,2015-05-22
22,CHC,9,ARI,6,0,0,0.551694009197,2015-05-23
23,CHC,3,ARI,4,1,0,0.551694009197,2015-05-24
24,ATL,8,ARI,1,0,1,0.614082617718,2015-06-01
25,ATL,6,ARI,7,1,1,0.614082617718,2015-06-02
26,ATL,8,ARI,9,1,1,0.614082617718,2015-06-03
27,NYM,6,ARI,2,0,0,0.517876866088,2015-06-04
28,NYM,2,ARI,7,1,0,0.517876866088,2015-06-05
29,NYM,1,ARI,2,1,0,0.517876866088,2015-06-06
30,NYM,6,ARI,3,0,0,0.517876866088,2015-06-07
31,LAA,2,ARI,3,1,1,0.521852431519,2015-06-17
32,LAA,7,ARI,1,0,1,0.521852431519,2015-06-18
33,SDP,2,ARI,4,1,1,0.575751009651,2015-06-19
34,SDP,8,ARI,1,0,1,0.575751009651,2015-06-20
35,SDP,2,ARI,7,1,1,0.575751009651,2015-06-21
36,LAD,6,ARI,10,1,0,0.541178081418,2015-06-29
37,LAD,6,ARI,4,0,0,0.541178081418,2015-06-30
38,LAD,4,ARI,3,0,0,0.541178081418,2015-07-01
39,COL,1,ARI,8,1,1,0.611731711832,2015-07-02
40,COL,3,ARI,4,1,1,0.611731711832,2015-07-03
41,COL,3,ARI,7,1,1,0.611731711832,2015-07-04
42,COL,6,ARI,4,0,1,0.611731711832,2015-07-05
43,SFG,6,ARI,5,0,1,0.515375561759,2015-07-17
44,SFG,8,ARI,4,0,1,0.515375561759,2015-07-18
45,SFG,2,ARI,1,0,1,0.515375561759,2015-07-19
46,MIA,1,ARI,3,1,1,0.602384320903,2015-07-20
47,MIA,3,ARI,0,0,1,0.602384320903,2015-07-21
48,MIA,5,ARI,3,0,1,0.602384320903,2015-07-22
49,MIL,3,ARI,8,1,1,0.606105786406,2015-07-23
50,MIL,2,ARI,1,0,1,0.606105786406,2015-07-24
51,MIL,0,ARI,2,1,1,0.606105786406,2015-07-25
52,MIL,0,ARI,3,1,1,0.606105786406,2015-07-26
53,CIN,0,ARI,2,1,1,0.620996906289,2015-08-07
54,CIN,4,ARI,1,0,1,0.620996906289,2015-08-08
55,CIN,3,ARI,4,1,1,0.620996906289,2015-08-09
56,PHI,3,ARI,13,1,1,0.646326742281,2015-08-10
57,PHI,1,ARI,13,1,1,0.646326742281,2015-08-11
58,PHI,7,ARI,6,0,1,0.646326742281,2015-08-12
59,STL,5,ARI,3,0,0,0.583498398361,2015-08-24
60,STL,9,ARI,1,0,0,0.583498398361,2015-08-25
61,STL,3,ARI,1,0,0,0.583498398361,2015-08-26
62,STL,5,ARI,3,0,0,0.583498398361,2015-08-27
63,OAK,4,ARI,6,1,1,0.5991119363,2015-08-28
64,OAK,3,ARI,2,0,1,0.5991119363,2015-08-29
65,OAK,7,ARI,4,0,1,0.5991119363,2015-08-30
66,SFG,1,ARI,6,1,1,0.515375561759,2015-09-07
67,SFG,6,ARI,2,0,1,0.515375561759,2015-09-08
68,SFG,1,ARI,2,1,1,0.515375561759,2015-09-09
69,LAD,4,ARI,12,1,0,0.541178081418,2015-09-11
70,LAD,9,ARI,5,0,0,0.541178081418,2015-09-12
71,LAD,4,ARI,3,0,0,0.541178081418,2015-09-13
72,SDP,10,ARI,3,0,1,0.575751009651,2015-09-14
73,SDP,4,ARI,6,1,1,0.575751009651,2015-09-15
74,SDP,4,ARI,3,0,1,0.575751009651,2015-09-16
75,COL,3,ARI,4,1,1,0.611731711832,2015-09-29
76,COL,1,ARI,3,1,1,0.611731711832,2015-09-30
