,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
0,ARI,2013,4.23,6334.0,5676.0,685.0,1468.0,302.0,31.0,130.0,647.0,62.0,41.0,519.0,1142.0,0.259,0.323,0.391,0.715,96.0,2222.0,160.0,43.0,50.0,43.0,51.0,1160.0,4.29,0.5,3.92,6.0,7.0,2.0,38.0,1495.0,1460.0,695.0,651.0,176.0,485.0,42.0,1218.0,60.0,3.0,84.0,6338.0,98.0,4.04,1.301,8.8,1.1,2.9,7.3,2.51,1158.0
1,ATL,2013,4.25,6133.0,5441.0,688.0,1354.0,247.0,21.0,181.0,656.0,64.0,31.0,542.0,1384.0,0.249,0.321,0.402,0.723,97.0,2186.0,119.0,55.0,58.0,35.0,36.0,1132.0,3.38,0.593,3.18,1.0,12.0,0.0,53.0,1450.1,1326.0,548.0,512.0,127.0,409.0,35.0,1232.0,51.0,3.0,50.0,5989.0,122.0,3.44,1.196,8.2,0.8,2.5,7.6,3.01,1090.0
2,BAL,2013,4.6,6144.0,5620.0,745.0,1460.0,298.0,14.0,212.0,719.0,79.0,29.0,416.0,1125.0,0.26,0.313,0.431,0.744,99.0,2422.0,105.0,36.0,27.0,45.0,36.0,1053.0,4.38,0.525,4.2,2.0,6.0,1.0,57.0,1453.0,1438.0,709.0,678.0,202.0,473.0,32.0,1169.0,50.0,3.0,38.0,6144.0,100.0,4.33,1.315,8.9,1.3,2.9,7.2,2.47,1076.0
3,BOS,2013,5.27,6382.0,5651.0,853.0,1566.0,363.0,29.0,178.0,819.0,123.0,19.0,581.0,1308.0,0.277,0.349,0.446,0.795,117.0,2521.0,137.0,72.0,24.0,50.0,51.0,1212.0,4.05,0.599,3.79,5.0,8.0,2.0,33.0,1454.0,1366.0,656.0,613.0,156.0,524.0,10.0,1294.0,47.0,5.0,47.0,6143.0,108.0,3.84,1.3,8.5,1.0,3.2,8.0,2.47,1125.0
4,CHC,2013,3.72,6079.0,5498.0,602.0,1307.0,297.0,18.0,172.0,576.0,63.0,32.0,439.0,1230.0,0.238,0.3,0.392,0.693,88.0,2156.0,120.0,67.0,43.0,30.0,28.0,1092.0,4.25,0.407,4.0,3.0,6.0,1.0,39.0,1448.0,1332.0,689.0,643.0,160.0,540.0,43.0,1184.0,62.0,4.0,59.0,6149.0,99.0,4.1,1.293,8.3,1.0,3.4,7.4,2.19,1116.0
5,CHW,2013,3.69,6077.0,5563.0,598.0,1385.0,237.0,19.0,148.0,574.0,105.0,42.0,411.0,1207.0,0.249,0.302,0.378,0.68,82.0,2104.0,124.0,34.0,19.0,48.0,23.0,1068.0,4.46,0.389,3.98,5.0,5.0,1.0,40.0,1455.0,1424.0,723.0,643.0,182.0,509.0,24.0,1249.0,60.0,4.0,62.0,6214.0,108.0,4.13,1.329,8.8,1.1,3.1,7.7,2.45,1126.0
6,CIN,2013,4.31,6293.0,5499.0,698.0,1370.0,274.0,20.0,155.0,664.0,67.0,35.0,585.0,1245.0,0.249,0.327,0.391,0.718,96.0,2149.0,129.0,76.0,85.0,46.0,65.0,1191.0,3.64,0.556,3.38,5.0,17.0,2.0,43.0,1473.2,1294.0,589.0,554.0,170.0,435.0,28.0,1296.0,66.0,5.0,44.0,6077.0,113.0,3.81,1.173,7.9,1.0,2.7,7.9,2.98,1067.0
7,CLE,2013,4.6,6165.0,5465.0,745.0,1391.0,290.0,23.0,171.0,711.0,117.0,36.0,562.0,1283.0,0.255,0.327,0.41,0.737,109.0,2240.0,106.0,51.0,31.0,56.0,19.0,1126.0,4.09,0.568,3.82,3.0,16.0,3.0,38.0,1441.1,1359.0,662.0,611.0,147.0,554.0,26.0,1379.0,58.0,3.0,71.0,6154.0,99.0,3.73,1.327,8.5,0.9,3.5,8.6,2.49,1168.0
8,COL,2013,4.36,6152.0,5599.0,706.0,1511.0,283.0,36.0,159.0,673.0,112.0,32.0,427.0,1204.0,0.27,0.323,0.418,0.741,91.0,2343.0,111.0,26.0,65.0,35.0,26.0,1118.0,4.69,0.457,4.44,1.0,5.0,0.0,35.0,1436.0,1545.0,760.0,708.0,136.0,517.0,52.0,1064.0,40.0,15.0,62.0,6248.0,100.0,3.96,1.436,9.7,0.9,3.2,6.7,2.06,1180.0
9,DET,2013,4.91,6388.0,5735.0,796.0,1625.0,292.0,23.0,176.0,767.0,35.0,20.0,531.0,1073.0,0.283,0.346,0.434,0.78,110.0,2491.0,146.0,43.0,32.0,47.0,40.0,1250.0,3.85,0.574,3.61,3.0,12.0,1.0,39.0,1462.2,1369.0,624.0,587.0,128.0,462.0,29.0,1428.0,42.0,7.0,63.0,6119.0,117.0,3.27,1.252,8.4,0.8,2.8,8.8,3.09,1107.0
