Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
1981,Cleveland Cavaliers,103,Boston Celtics,130
1981,San Antonio Spurs,113,Denver Nuggets,112
1981,Washington Bullets,95,Detroit Pistons,85
1981,Indiana Pacers,110,New Jersey Nets,91
1981,Milwaukee Bucks,106,Philadelphia 76ers,103
1981,Golden State Warriors,101,Phoenix Suns,121
1981,Houston Rockets,104,San Diego Clippers,120
1981,Los Angeles Lakers,99,Seattle SuperSonics,98
1981,Portland Trail Blazers,86,Utah Jazz,96
1981,Chicago Bulls,93,Atlanta Hawks,101
1981,New Jersey Nets,99,Cleveland Cavaliers,96
1981,San Antonio Spurs,92,Dallas Mavericks,103
1981,San Diego Clippers,91,Golden State Warriors,104
1981,Detroit Pistons,87,Indiana Pacers,100
1981,Utah Jazz,91,Kansas City Kings,98
1981,Milwaukee Bucks,109,New York Knicks,114
1981,Philadelphia 76ers,126,Washington Bullets,120
1981,Utah Jazz,125,Denver Nuggets,121
1981,Houston Rockets,103,Los Angeles Lakers,114
1981,Kansas City Kings,100,Phoenix Suns,109
1981,Seattle SuperSonics,96,Portland Trail Blazers,107
1981,Detroit Pistons,92,New Jersey Nets,108
1981,Boston Celtics,116,Atlanta Hawks,122
1981,Detroit Pistons,91,Cleveland Cavaliers,99
1981,Seattle SuperSonics,85,Dallas Mavericks,83
1981,Philadelphia 76ers,93,New York Knicks,113
1981,Kansas City Kings,103,San Antonio Spurs,109
1981,Dallas Mavericks,98,Denver Nuggets,133
1981,Portland Trail Blazers,92,Golden State Warriors,95
1981,Seattle SuperSonics,100,Houston Rockets,103
1981,Chicago Bulls,108,Indiana Pacers,97
1981,Los Angeles Lakers,112,Kansas City Kings,107
1981,Philadelphia 76ers,119,New Jersey Nets,111
1981,Phoenix Suns,107,Utah Jazz,93
1981,Washington Bullets,88,Cleveland Cavaliers,90
1981,San Antonio Spurs,102,Detroit Pistons,99
1981,Boston Celtics,110,Milwaukee Bucks,103
1981,New York Knicks,101,Atlanta Hawks,113
1981,Cleveland Cavaliers,79,Chicago Bulls,98
1981,Kansas City Kings,103,Dallas Mavericks,91
1981,Phoenix Suns,109,Los Angeles Lakers,116
1981,Houston Rockets,102,Portland Trail Blazers,99
1981,Denver Nuggets,129,San Diego Clippers,116
