Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2012,Miami Heat,105,Dallas Mavericks,94
2012,Los Angeles Clippers,105,Golden State Warriors,86
2012,Chicago Bulls,88,Los Angeles Lakers,87
2012,Boston Celtics,104,New York Knicks,106
2012,Orlando Magic,89,Oklahoma City Thunder,97
2012,Milwaukee Bucks,95,Charlotte Bobcats,96
2012,Toronto Raptors,104,Cleveland Cavaliers,96
2012,Denver Nuggets,115,Dallas Mavericks,93
2012,Chicago Bulls,91,Golden State Warriors,99
2012,Detroit Pistons,79,Indiana Pacers,91
2012,Oklahoma City Thunder,104,Minnesota Timberwolves,100
2012,Houston Rockets,95,Orlando Magic,104
2012,New Orleans Hornets,85,Phoenix Suns,84
2012,Philadelphia 76ers,103,Portland Trail Blazers,107
2012,Los Angeles Lakers,91,Sacramento Kings,100
2012,Memphis Grizzlies,82,San Antonio Spurs,95
2012,New Jersey Nets,90,Washington Wizards,84
2012,Utah Jazz,71,Los Angeles Lakers,96
2012,Boston Celtics,107,Miami Heat,115
2012,Minnesota Timberwolves,95,Milwaukee Bucks,98
2012,Atlanta Hawks,106,New Jersey Nets,70
2012,Sacramento Kings,79,Portland Trail Blazers,101
2012,Washington Wizards,83,Atlanta Hawks,101
2012,Miami Heat,96,Charlotte Bobcats,95
2012,Utah Jazz,100,Denver Nuggets,117
2012,Cleveland Cavaliers,105,Detroit Pistons,89
2012,New York Knicks,78,Golden State Warriors,92
2012,Oklahoma City Thunder,98,Memphis Grizzlies,95
2012,Boston Celtics,78,New Orleans Hornets,97
2012,Philadelphia 76ers,103,Phoenix Suns,83
2012,Los Angeles Clippers,90,San Antonio Spurs,115
2012,Indiana Pacers,90,Toronto Raptors,85
2012,San Antonio Spurs,85,Houston Rockets,105
2012,New York Knicks,82,Los Angeles Lakers,99
2012,Dallas Mavericks,102,Oklahoma City Thunder,104
2012,New Jersey Nets,78,Orlando Magic,94
2012,Denver Nuggets,102,Portland Trail Blazers,111
2012,Chicago Bulls,108,Sacramento Kings,98
2012,New Jersey Nets,98,Atlanta Hawks,105
2012,Detroit Pistons,85,Boston Celtics,96
2012,Orlando Magic,100,Charlotte Bobcats,79
2012,Toronto Raptors,86,Dallas Mavericks,99
2012,Cleveland Cavaliers,91,Indiana Pacers,98
2012,Chicago Bulls,114,Los Angeles Clippers,101
2012,Houston Rockets,93,Memphis Grizzlies,113
2012,Washington Wizards,81,Milwaukee Bucks,102
2012,Miami Heat,103,Minnesota Timberwolves,101
2012,Phoenix Suns,93,New Orleans Hornets,78
2012,Philadelphia 76ers,99,Utah Jazz,102
2012,Indiana Pacers,88,Detroit Pistons,96
2012,Philadelphia 76ers,107,Golden State Warriors,79
2012,Atlanta Hawks,84,Houston Rockets,95
2012,Denver Nuggets,89,Los Angeles Lakers,92
2012,Phoenix Suns,97,Oklahoma City Thunder,107
2012,New York Knicks,114,Sacramento Kings,92
2012,Utah Jazz,89,San Antonio Spurs,104
2013,Washington Wizards,84,Cleveland Cavaliers,94
2013,Dallas Mavericks,99,Los Angeles Lakers,91
2013,Boston Celtics,107,Miami Heat,120
2013,Sacramento Kings,87,Chicago Bulls,93
2013,Houston Rockets,105,Detroit Pistons,96
2013,Memphis Grizzlies,92,Los Angeles Clippers,101
2013,San Antonio Spurs,99,New Orleans Hornets,95
2013,Denver Nuggets,75,Philadelphia 76ers,84
2013,Golden State Warriors,87,Phoenix Suns,85
2013,Los Angeles Lakers,106,Portland Trail Blazers,116
2013,Indiana Pacers,90,Toronto Raptors,88
2013,Dallas Mavericks,94,Utah Jazz,113
