Season_Yr,Visitor_Team,Home_Team,Home_Team_PTS,Visitor_Team_PTS
2015,Houston Rockets,Los Angeles Lakers,108,90
2015,Orlando Magic,New Orleans Pelicans,84,101
2015,Dallas Mavericks,San Antonio Spurs,100,101
2015,Brooklyn Nets,Boston Celtics,105,121
2015,Milwaukee Bucks,Charlotte Hornets,106,108
2015,Detroit Pistons,Denver Nuggets,79,89
2015,Philadelphia 76ers,Indiana Pacers,91,103
2015,Minnesota Timberwolves,Memphis Grizzlies,101,105
2015,Washington Wizards,Miami Heat,95,107
2015,Chicago Bulls,New York Knicks,104,80
2015,Los Angeles Lakers,Phoenix Suns,99,119
2015,Oklahoma City Thunder,Portland Trail Blazers,89,106
2015,Golden State Warriors,Sacramento Kings,95,77
2015,Atlanta Hawks,Toronto Raptors,102,109
2015,Houston Rockets,Utah Jazz,104,93
2015,New York Knicks,Cleveland Cavaliers,95,90
2015,Utah Jazz,Dallas Mavericks,102,120
2015,Oklahoma City Thunder,Los Angeles Clippers,90,93
2015,Detroit Pistons,Minnesota Timberwolves,91,97
2015,Washington Wizards,Orlando Magic,105,98
2015,Cleveland Cavaliers,Chicago Bulls,114,108
2015,Memphis Grizzlies,Indiana Pacers,97,89
2015,Los Angeles Clippers,Los Angeles Lakers,118,111
2015,Philadelphia 76ers,Milwaukee Bucks,81,93
2015,San Antonio Spurs,Phoenix Suns,89,94
2015,Portland Trail Blazers,Sacramento Kings,94,103
2015,Indiana Pacers,Atlanta Hawks,92,102
2015,Memphis Grizzlies,Charlotte Hornets,71,69
2015,Brooklyn Nets,Detroit Pistons,102,90
2015,Los Angeles Lakers,Golden State Warriors,104,127
2015,Boston Celtics,Houston Rockets,90,104
2015,Chicago Bulls,Minnesota Timberwolves,106,105
2015,Dallas Mavericks,New Orleans Pelicans,109,104
2015,Denver Nuggets,Oklahoma City Thunder,91,102
2015,Toronto Raptors,Orlando Magic,108,95
2015,Miami Heat,Philadelphia 76ers,114,96
2015,Phoenix Suns,Utah Jazz,91,118
2015,Milwaukee Bucks,Washington Wizards,97,108
2015,Sacramento Kings,Los Angeles Clippers,98,92
2015,Toronto Raptors,Miami Heat,102,107
2015,Charlotte Hornets,New York Knicks,93,96
2015,Golden State Warriors,Portland Trail Blazers,95,90
2015,Oklahoma City Thunder,Brooklyn Nets,85,116
2015,Boston Celtics,Dallas Mavericks,113,118
2015,Sacramento Kings,Denver Nuggets,110,105
2015,Utah Jazz,Los Angeles Clippers,101,107
2015,New Orleans Pelicans,Memphis Grizzlies,81,93
2015,Houston Rockets,Philadelphia 76ers,104,93
2015,Orlando Magic,Chicago Bulls,90,98
2015,Milwaukee Bucks,Indiana Pacers,87,81
2015,Phoenix Suns,Los Angeles Lakers,112,106
2015,Houston Rockets,Miami Heat,108,91
2015,Charlotte Hornets,New Orleans Pelicans,91,100
2015,Washington Wizards,New York Knicks,98,83
2015,Cleveland Cavaliers,Portland Trail Blazers,82,101
2015,Oklahoma City Thunder,Toronto Raptors,88,100
2015,Toronto Raptors,Boston Celtics,110,107
2015,Minnesota Timberwolves,Brooklyn Nets,98,91
2015,Miami Heat,Charlotte Hornets,89,96
2015,New York Knicks,Detroit Pistons,95,98
2015,Los Angeles Clippers,Golden State Warriors,104,121
2015,Chicago Bulls,Milwaukee Bucks,95,86
2015,Orlando Magic,Philadelphia 76ers,91,89
2015,Memphis Grizzlies,Phoenix Suns,102,91
2015,Denver Nuggets,Sacramento Kings,109,131
2015,Atlanta Hawks,San Antonio Spurs,92,94
2015,Cleveland Cavaliers,Utah Jazz,100,102
2015,Indiana Pacers,Washington Wizards,94,96
2015,San Antonio Spurs,Houston Rockets,81,98
2015,Dallas Mavericks,Portland Trail Blazers,87,108
2015,Indiana Pacers,Boston Celtics,98,101
2015,New York Knicks,Brooklyn Nets,99,110
2015,Atlanta Hawks,Charlotte Hornets,119,122
2015,Cleveland Cavaliers,Denver Nuggets,110,101
2015,Milwaukee Bucks,Detroit Pistons,95,98
2015,Memphis Grizzlies,Oklahoma City Thunder,91,89
2015,Minnesota Timberwolves,Orlando Magic,103,112
2015,Chicago Bulls,Philadelphia 76ers,118,115
2015,Sacramento Kings,Phoenix Suns,114,112
2015,Washington Wizards,Toronto Raptors,84,103
2015,Dallas Mavericks,Utah Jazz,105,82
2015,New York Knicks,Atlanta Hawks,96,103
2015,Boston Celtics,Chicago Bulls,106,101
2015,Golden State Warriors,Houston Rockets,98,87
2015,Washington Wizards,Indiana Pacers,97,90
2015,Portland Trail Blazers,Los Angeles Clippers,102,106
2015,Minnesota Timberwolves,Miami Heat,92,102
2015,Memphis Grizzlies,Milwaukee Bucks,92,93
2015,New Orleans Pelicans,San Antonio Spurs,100,99
2015,Orlando Magic,Brooklyn Nets,96,104
2015,Miami Heat,Dallas Mavericks,105,96
2015,Utah Jazz,Detroit Pistons,97,96
2015,Charlotte Hornets,Los Angeles Lakers,92,107
2015,Sacramento Kings,Oklahoma City Thunder,93,101
2015,Golden State Warriors,Phoenix Suns,95,107
2015,Denver Nuggets,Portland Trail Blazers,100,116
2015,Philadelphia 76ers,Toronto Raptors,88,120
2015,Detroit Pistons,Chicago Bulls,91,102
2015,New Orleans Pelicans,Cleveland Cavaliers,111,118
2015,Utah Jazz,Indiana Pacers,86,97
2015,San Antonio Spurs,Los Angeles Clippers,89,85
2015,Atlanta Hawks,New York Knicks,91,85
2015,Sacramento Kings,Dallas Mavericks,98,106
2015,San Antonio Spurs,Golden State Warriors,113,100
2015,Los Angeles Lakers,Memphis Grizzlies,102,107
2015,Oklahoma City Thunder,Milwaukee Bucks,78,85
2015,Charlotte Hornets,Portland Trail Blazers,100,102
2015,Orlando Magic,Toronto Raptors,100,104
2015,Utah Jazz,Atlanta Hawks,97,100
2015,Oklahoma City Thunder,Boston Celtics,109,94
2015,Portland Trail Blazers,Denver Nuggets,130,113
2015,Indiana Pacers,Miami Heat,81,75
2015,Houston Rockets,Minnesota Timberwolves,113,101
2015,Los Angeles Lakers,New Orleans Pelicans,102,109
2015,Orlando Magic,New York Knicks,97,95
2015,Brooklyn Nets,Phoenix Suns,104,112
2015,Detroit Pistons,Washington Wizards,103,107
2015,Philadelphia 76ers,Dallas Mavericks,70,123
2015,Brooklyn Nets,Golden State Warriors,99,107
2015,Sacramento Kings,Memphis Grizzlies,110,111
2015,Chicago Bulls,Toronto Raptors,100,93
2015,Miami Heat,Atlanta Hawks,103,114
2015,Cleveland Cavaliers,Boston Celtics,122,121
2015,Philadelphia 76ers,Houston Rockets,87,88
2015,Denver Nuggets,Indiana Pacers,108,87
2015,San Antonio Spurs,Los Angeles Lakers,93,80
2015,Minnesota Timberwolves,New Orleans Pelicans,91,139
2015,Utah Jazz,New York Knicks,102,100
2015,Detroit Pistons,Oklahoma City Thunder,96,89
2015,Milwaukee Bucks,Orlando Magic,85,101
2015,Charlotte Hornets,Phoenix Suns,103,95
2015,Indiana Pacers,Chicago Bulls,99,90
2015,Atlanta Hawks,Cleveland Cavaliers,94,127
2015,Minnesota Timberwolves,Dallas Mavericks,117,131
2015,Charlotte Hornets,Golden State Warriors,87,112
2015,Phoenix Suns,Los Angeles Clippers,107,120
2015,Detroit Pistons,Memphis Grizzlies,88,95
2015,Brooklyn Nets,Portland Trail Blazers,87,97
2015,San Antonio Spurs,Sacramento Kings,91,94
2015,Utah Jazz,Toronto Raptors,93,111
2015,Orlando Magic,Washington Wizards,93,98
2015,Golden State Warriors,Los Angeles Lakers,136,115
2015,Milwaukee Bucks,Miami Heat,91,84
2015,Denver Nuggets,New York Knicks,93,109
2015,Houston Rockets,Oklahoma City Thunder,69,65
2015,Phoenix Suns,Boston Celtics,118,114
2015,Miami Heat,Brooklyn Nets,95,83
2015,Dallas Mavericks,Charlotte Hornets,107,80
2015,Denver Nuggets,Cleveland Cavaliers,106,97
2015,Orlando Magic,Detroit Pistons,107,93
2015,Chicago Bulls,Los Angeles Clippers,105,89
2015,Houston Rockets,Memphis Grizzlies,93,119
2015,New Orleans Pelicans,Portland Trail Blazers,93,102
2015,Philadelphia 76ers,San Antonio Spurs,75,100
2015,Los Angeles Lakers,Atlanta Hawks,114,109
2015,New York Knicks,Milwaukee Bucks,113,117
2015,New Orleans Pelicans,Sacramento Kings,106,100
2015,Oklahoma City Thunder,Utah Jazz,81,98
2015,Milwaukee Bucks,Brooklyn Nets,122,118
2015,San Antonio Spurs,Cleveland Cavaliers,92,90
2015,Oklahoma City Thunder,Denver Nuggets,100,107
2015,Phoenix Suns,Detroit Pistons,88,86
2015,Los Angeles Lakers,Houston Rockets,98,92
2015,Charlotte Hornets,Indiana Pacers,86,88
2015,New York Knicks,Minnesota Timberwolves,99,115
2015,Los Angeles Clippers,Orlando Magic,114,90
2015,Boston Celtics,Philadelphia 76ers,101,90
2015,Memphis Grizzlies,Toronto Raptors,92,96
2015,Dallas Mavericks,Washington Wizards,105,102
2015,Los Angeles Clippers,Miami Heat,110,93
2015,Chicago Bulls,Sacramento Kings,88,103
