ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,New York Knicks,88,Cleveland Cavaliers,117,1,1,0.891176182576,2016-10-25
1,San Antonio Spurs,129,Golden State Warriors,100,0,1,0.530738383859,2016-10-25
2,Utah Jazz,104,Portland Trail Blazers,113,1,0,0.602504096415,2016-10-25
3,Brooklyn Nets,117,Boston Celtics,122,1,1,0.645854152492,2016-10-26
4,Dallas Mavericks,121,Indiana Pacers,130,1,1,0.638687898256,2016-10-26
5,Houston Rockets,114,Los Angeles Lakers,120,1,1,0.616296748836,2016-10-26
6,Minnesota Timberwolves,98,Memphis Grizzlies,102,1,1,0.51049105314,2016-10-26
7,Charlotte Hornets,107,Milwaukee Bucks,96,0,0,0.609893471597,2016-10-26
8,Denver Nuggets,107,New Orleans Pelicans,102,0,0,0.590569144147,2016-10-26
9,Miami Heat,108,Orlando Magic,96,0,0,0.777213963158,2016-10-26
10,Oklahoma City Thunder,103,Philadelphia 76ers,97,0,0,0.871010880663,2016-10-26
11,Sacramento Kings,113,Phoenix Suns,94,0,1,0.645263145386,2016-10-26
12,Detroit Pistons,91,Toronto Raptors,109,1,1,0.823779118791,2016-10-26
13,Washington Wizards,99,Atlanta Hawks,114,1,1,0.903251292606,2016-10-27
14,Boston Celtics,99,Chicago Bulls,105,1,1,0.829429777543,2016-10-27
15,Los Angeles Clippers,114,Portland Trail Blazers,106,0,0,0.920180672033,2016-10-27
16,San Antonio Spurs,102,Sacramento Kings,94,0,0,0.779158757672,2016-10-27
17,Indiana Pacers,94,Brooklyn Nets,103,1,1,0.647724699677,2016-10-28
18,Houston Rockets,106,Dallas Mavericks,98,0,0,0.631583638621,2016-10-28
19,Orlando Magic,82,Detroit Pistons,108,1,1,0.925295301264,2016-10-28
20,Charlotte Hornets,97,Miami Heat,91,0,0,0.572179386745,2016-10-28
21,Golden State Warriors,122,New Orleans Pelicans,114,0,0,0.798774258382,2016-10-28
22,Phoenix Suns,110,Oklahoma City Thunder,113,1,1,0.88211462169,2016-10-28
23,Cleveland Cavaliers,94,Toronto Raptors,91,0,1,0.688051782245,2016-10-28
24,Los Angeles Lakers,89,Utah Jazz,96,1,1,0.764475138365,2016-10-28
25,Indiana Pacers,101,Chicago Bulls,118,1,1,0.834266125675,2016-10-29
26,Boston Celtics,104,Charlotte Hornets,98,0,1,0.901103478183,2016-10-29
27,Orlando Magic,99,Cleveland Cavaliers,105,1,1,0.963304211363,2016-10-29
28,Portland Trail Blazers,115,Denver Nuggets,113,0,1,0.613919202714,2016-10-29
29,Brooklyn Nets,108,Milwaukee Bucks,110,1,1,0.766420149285,2016-10-29
30,Memphis Grizzlies,104,New York Knicks,111,1,1,0.70607533925,2016-10-29
31,Atlanta Hawks,104,Philadelphia 76ers,72,0,0,0.922698213529,2016-10-29
32,Minnesota Timberwolves,103,Sacramento Kings,106,1,1,0.585777510734,2016-10-29
33,New Orleans Pelicans,79,San Antonio Spurs,98,1,1,0.953405247493,2016-10-29
34,Milwaukee Bucks,83,Detroit Pistons,98,1,1,0.697519150895,2016-10-30
35,Dallas Mavericks,92,Houston Rockets,93,1,1,0.847400501056,2016-10-30
36,Utah Jazz,75,Los Angeles Clippers,88,1,1,0.93192006304,2016-10-30
37,Washington Wizards,103,Memphis Grizzlies,112,1,0,0.518964042783,2016-10-30
38,San Antonio Spurs,106,Miami Heat,99,0,0,0.646646360113,2016-10-30
39,Los Angeles Lakers,96,Oklahoma City Thunder,113,1,1,0.75286365592,2016-10-30
40,Golden State Warriors,106,Phoenix Suns,100,0,0,0.686885263192,2016-10-30
41,Sacramento Kings,95,Atlanta Hawks,106,1,1,0.930401936882,2016-10-31
42,Chicago Bulls,118,Brooklyn Nets,88,0,0,0.603350760838,2016-10-31
43,Phoenix Suns,98,Los Angeles Clippers,116,1,1,0.983776418268,2016-10-31
44,Denver Nuggets,102,Toronto Raptors,105,1,1,0.872002741508,2016-10-31
45,Houston Rockets,120,Cleveland Cavaliers,128,1,1,0.743432444089,2016-11-01
46,New York Knicks,89,Detroit Pistons,102,1,1,0.794403269725,2016-11-01
47,Los Angeles Lakers,108,Indiana Pacers,115,1,0,0.609021736761,2016-11-01
48,Sacramento Kings,96,Miami Heat,108,1,1,0.776278697877,2016-11-01
