,Team,Season_Yr,WP,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS_Perc,O_eFG_Perc,O_TOV_Perc,ORB_Perc,O_FT_per_FGA,D_eFG_Perc,D_TOV_Perc,DRB_Perc,D_FT_per_FGA
0,Philadelphia 76ers,1981,0.732,7.85,-0.09,7.76,107.0,99.5,103.4,0.343,0.012,0.562,0.515,17.3,32.3,0.264,0.454,16.3,67.1,0.252
1,Milwaukee Bucks,1981,0.72,7.27,-0.13,7.14,108.7,101.8,103.6,0.313,0.018,0.546,0.5,15.7,36.3,0.241,0.461,16.6,65.6,0.28
2,Boston Celtics,1981,0.683,5.88,0.17,6.05,108.4,102.6,100.8,0.334,0.034,0.553,0.509,16.2,34.7,0.251,0.464,15.1,67.0,0.24
3,Phoenix Suns,1981,0.671,5.51,-0.68,4.83,104.6,99.4,104.7,0.332,0.022,0.537,0.492,17.1,35.1,0.247,0.471,17.5,68.2,0.244
4,Los Angeles Lakers,1981,0.622,3.84,-0.57,3.27,107.6,103.9,102.7,0.286,0.013,0.548,0.513,15.8,33.9,0.209,0.468,14.6,64.4,0.208
5,Chicago Bulls,1981,0.561,1.98,0.37,2.34,107.8,105.8,100.6,0.371,0.026,0.556,0.504,17.2,36.9,0.288,0.493,15.5,68.4,0.232
6,San Antonio Spurs,1981,0.585,2.88,-0.7,2.18,108.5,105.7,102.9,0.367,0.012,0.545,0.492,15.4,37.5,0.282,0.475,14.1,68.0,0.233
7,New York Knicks,1981,0.549,1.62,0.38,2.0,106.0,104.4,101.0,0.329,0.033,0.533,0.487,15.0,31.6,0.246,0.504,17.2,65.8,0.22
8,Indiana Pacers,1981,0.549,1.4,0.32,1.72,106.4,105.0,100.9,0.351,0.023,0.528,0.484,15.1,35.5,0.251,0.492,17.0,64.5,0.248
9,Portland Trail Blazers,1981,0.524,0.89,-0.37,0.52,106.5,105.7,103.0,0.291,0.02,0.534,0.498,15.2,33.9,0.209,0.49,15.8,65.7,0.246
10,Washington Bullets,1981,0.5,0.01,0.41,0.42,102.7,102.7,102.4,0.276,0.032,0.514,0.476,14.4,30.5,0.199,0.472,14.3,67.8,0.212
11,Houston Rockets,1981,0.512,0.33,-0.53,-0.2,107.0,106.7,100.5,0.303,0.016,0.534,0.489,14.9,33.9,0.233,0.496,14.7,66.6,0.214
12,Kansas City Kings,1981,0.5,0.01,-0.51,-0.49,104.7,104.7,101.3,0.308,0.023,0.54,0.503,15.1,29.2,0.22,0.483,15.6,68.3,0.265
13,Denver Nuggets,1981,0.488,-0.48,-0.47,-0.95,109.4,109.8,109.8,0.383,0.018,0.537,0.477,13.4,33.1,0.3,0.509,14.6,65.4,0.232
14,Golden State Warriors,1981,0.463,-1.18,-0.23,-1.41,108.5,109.7,101.0,0.345,0.029,0.537,0.493,15.6,38.8,0.251,0.507,14.4,67.5,0.25
15,San Diego Clippers,1981,0.451,-1.59,-0.2,-1.78,106.0,107.6,100.2,0.308,0.056,0.528,0.486,14.5,33.0,0.227,0.507,16.2,66.3,0.262
16,Seattle SuperSonics,1981,0.451,-1.65,-0.2,-1.84,103.2,104.8,100.3,0.333,0.016,0.521,0.47,15.7,33.1,0.254,0.468,13.8,66.1,0.232
17,Atlanta Hawks,1981,0.402,-3.1,0.73,-2.37,104.3,107.3,99.4,0.377,0.012,0.537,0.48,16.7,34.1,0.293,0.498,17.3,64.8,0.295
18,Cleveland Cavaliers,1981,0.354,-4.85,0.7,-4.15,104.3,109.1,100.8,0.251,0.033,0.513,0.472,14.2,33.5,0.195,0.507,15.2,66.0,0.251
19,New Jersey Nets,1981,0.317,-6.02,0.87,-5.15,101.0,106.7,105.2,0.324,0.019,0.525,0.478,16.6,30.4,0.243,0.506,16.4,69.2,0.281
20,Detroit Pistons,1981,0.293,-6.32,0.74,-5.58,98.1,104.3,101.2,0.334,0.012,0.51,0.464,18.0,33.4,0.242,0.512,18.6,65.9,0.242
21,Utah Jazz,1981,0.317,-5.89,-0.1,-5.99,103.4,109.4,97.7,0.305,0.024,0.536,0.491,15.5,28.3,0.234,0.492,13.8,66.8,0.268
22,Dallas Mavericks,1981,0.244,-8.4,0.07,-8.33,102.4,110.8,98.6,0.359,0.024,0.519,0.466,15.2,30.7,0.27,0.516,15.1,65.0,0.245
24,Boston Celtics,1982,0.695,6.38,-0.03,6.35,109.8,103.5,101.5,0.335,0.025,0.545,0.502,14.7,35.8,0.248,0.472,14.6,67.6,0.22
25,Philadelphia 76ers,1982,0.683,5.73,0.0,5.74,109.6,103.9,100.6,0.354,0.02,0.566,0.521,15.5,30.5,0.265,0.48,16.5,65.0,0.261
26,Milwaukee Bucks,1982,0.671,5.48,-0.1,5.38,107.7,102.3,100.0,0.332,0.023,0.553,0.509,16.5,35.1,0.25,0.471,15.9,67.3,0.253
27,Los Angeles Lakers,1982,0.646,4.87,-0.5,4.37,110.2,105.5,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187
28,Seattle SuperSonics,1982,0.634,4.13,-0.45,3.69,106.4,102.3,100.0,0.329,0.021,0.535,0.491,14.1,31.3,0.243,0.464,14.4,67.2,0.214
29,Phoenix Suns,1982,0.61,3.45,-0.4,3.05,105.8,102.4,99.5,0.302,0.024,0.538,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233
30,San Antonio Spurs,1982,0.573,2.3,-0.52,1.79,109.9,107.6,102.5,0.307,0.033,0.537,0.49,13.0,34.0,0.238,0.487,13.7,68.8,0.256
31,Washington Bullets,1982,0.524,0.88,0.19,1.06,103.3,102.5,99.4,0.294,0.033,0.524,0.478,14.7,29.4,0.227,0.468,13.9,69.9,0.228
32,New Jersey Nets,1982,0.524,0.68,0.18,0.87,103.0,102.3,103.1,0.326,0.02,0.529,0.487,16.6,33.7,0.237,0.486,18.3,67.0,0.281
33,Atlanta Hawks,1982,0.524,0.54,0.27,0.81,105.1,104.6,95.1,0.352,0.019,0.529,0.476,14.6,32.2,0.271,0.473,15.6,67.6,0.282
34,Golden State Warriors,1982,0.537,1.04,-0.24,0.8,108.8,107.7,101.4,0.324,0.044,0.541,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256
35,Portland Trail Blazers,1982,0.524,0.6,-0.21,0.39,108.8,108.2,100.5,0.332,0.019,0.547,0.507,14.4,32.5,0.239,0.502,15.0,65.9,0.223
36,Denver Nuggets,1982,0.512,0.52,-0.4,0.13,114.3,113.9,109.8,0.389,0.019,0.578,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213
37,Houston Rockets,1982,0.5,-0.04,-0.36,-0.39,108.3,108.3,97.2,0.302,0.024,0.52,0.479,13.7,37.8,0.22,0.5,14.3,66.1,0.209
38,Detroit Pistons,1982,0.476,-0.91,0.28,-0.63,105.8,106.6,104.3,0.349,0.029,0.534,0.485,16.0,34.8,0.262,0.512,16.4,66.9,0.224
39,Indiana Pacers,1982,0.439,-1.87,0.38,-1.49,102.7,104.6,98.7,0.304,0.044,0.516,0.472,14.6,30.5,0.225,0.494,15.9,66.3,0.221
40,Chicago Bulls,1982,0.439,-2.02,0.45,-1.57,106.6,108.6,99.0,0.378,0.032,0.557,0.505,17.3,33.6,0.29,0.499,13.2,69.0,0.207
41,New York Knicks,1982,0.415,-2.67,0.52,-2.15,106.0,108.6,99.5,0.302,0.03,0.535,0.495,15.4,33.1,0.223,0.508,15.4,66.9,0.255
42,Kansas City Kings,1982,0.402,-3.1,-0.15,-3.25,104.2,107.2,101.8,0.296,0.018,0.533,0.497,15.5,29.9,0.213,0.504,16.5,66.0,0.287
43,Dallas Mavericks,1982,0.354,-4.43,-0.06,-4.48,105.9,110.4,98.5,0.328,0.026,0.519,0.473,13.7,33.9,0.241,0.51,14.5,66.8,0.266
44,Utah Jazz,1982,0.329,-5.66,0.03,-5.63,106.2,111.7,103.9,0.306,0.013,0.538,0.496,14.5,30.6,0.23,0.513,14.1,65.3,0.244
45,San Diego Clippers,1982,0.28,-7.39,0.34,-7.05,106.6,113.8,101.4,0.33,0.048,0.547,0.507,16.2,33.2,0.238,0.529,13.9,68.0,0.28
46,Cleveland Cavaliers,1982,0.244,-8.51,0.74,-7.77,103.3,111.8,99.3,0.297,0.019,0.51,0.466,13.7,32.0,0.222,0.515,14.7,65.9,0.271
48,Philadelphia 76ers,1983,0.732,7.67,-0.14,7.53,108.3,100.9,102.7,0.367,0.015,0.549,0.501,16.3,37.1,0.273,0.464,15.8,66.2,0.217
49,Boston Celtics,1983,0.671,5.35,-0.01,5.34,106.9,101.8,104.0,0.311,0.025,0.536,0.494,15.2,34.7,0.229,0.473,16.0,68.1,0.236
50,Los Angeles Lakers,1983,0.671,5.55,-0.49,5.06,110.5,105.2,103.8,0.27,0.013,0.561,0.528,15.9,36.3,0.199,0.494,15.5,65.3,0.191
51,Phoenix Suns,1983,0.659,5.06,-0.45,4.61,105.1,100.1,101.6,0.306,0.022,0.54,0.499,16.0,32.0,0.227,0.458,15.9,67.5,0.235
