,Tm,Season_Yr,PF_Off,Yds_Off,Ply_Off,Y_Per_P_Off,TO_Off,FL_Off,1stD_Off,Cmp_Off,Att_Off,TD_Off,Int_Off,NY_Per_A_Off,Y_Per_A_Off,Pen_Off,1stPy_Off,Sc_Perc_Off,TO_Perc_Off,EXP_Off,Cmp_POff,Att_POff,Cmp_Perc_Off,Yds_POff,TD_POff,TD_Perc_Off,Int_POff,Int_Perc_Off,Lng,Y_Per_A_POff,AY_Per_A_Off,Y_Per_C_Off,Y_Per_G_Off,Rate_Off,Sk_Off,NY_Per_A_POff,ANY_Per_A_Off,Sk_Perc_Off,4QC,GWD,EXP_POff,PF_Def,Yds_Def,Ply_Def,Y_Per_P_Def,TO_Def,FL_Def,1stD_Def,Cmp_Def,Att_Def,TD_Def,Int_Def,NY_Per_A_Def,Y_Per_A_Def,Pen_Def,1stPy_Def,Sc_Perc_Def,TO_Perc_Def,EXP_Def,Cmp_PDef,Att_PDef,Cmp_Perc_Def,Yds_PDef,TD_PDef,TD_Perc_Def,Int_PDef,Int_Perc_Def,Y_Per_A_PDef,AY_Per_A_Def,Y_Per_C_Def,Y_Per_G_Def,Rate_Def,Sk_Def,NY_Per_A_PDef,ANY_Per_A_Def,Sk_Perc_Def,EXP_PDef
0,Atlanta Falcons,2016,305,3863,571,6.8,7,3,215,218,313,23,4,8.5,4.4,63,11,53.1,7.1,107.08,218,313,69.6,2835,23,7.3,4,1.3,75,9.5,10.4,13.7,315.0,119.0,22,8.5,9.3,6.6,1.0,2.0,110.12,259,3430,609,5.6,10,4,214,260,382,23,6,6.5,4.0,57,21,44.3,9.3,-57.09,260,382,68.1,2609,23,6.0,6,1.6,7.2,7.7,10.5,289.9,102.2,20,6.5,7.0,5.0,-76.16
1,San Diego Chargers,2016,268,3402,593,5.7,18,11,199,206,327,17,7,7.0,3.9,55,20,43.8,15.2,6.43,206,327,63.0,2442,17,5.2,7,2.1,59,7.8,7.9,12.4,271.3,95.6,22,7.0,7.1,6.3,1.0,1.0,35.9,247,3282,595,5.5,18,7,186,236,376,14,11,6.4,3.8,78,11,37.8,16.2,36.82,236,376,62.8,2513,14,3.7,11,2.9,7.0,6.4,11.2,279.2,83.8,18,6.4,5.8,4.6,7.51
2,Oakland Raiders,2016,245,3610,603,6.0,6,3,197,234,354,17,3,6.7,4.8,94,21,40.0,5.5,58.22,234,354,66.1,2460,17,4.8,3,0.8,68,7.1,7.7,10.7,273.3,99.1,11,6.7,7.3,3.0,3.0,3.0,78.55,223,3582,559,6.4,15,7,187,200,326,17,8,7.5,4.7,69,22,38.7,13.2,-49.11,200,326,61.3,2549,17,5.2,8,2.5,8.0,8.0,13.1,283.2,93.9,13,7.5,7.5,3.8,-45.2
3,New Orleans Saints,2016,242,3476,571,6.1,9,4,203,242,347,21,5,7.3,4.1,51,13,46.7,8.9,80.57,242,347,69.7,2610,21,6.1,5,1.4,98,7.7,8.3,11.1,326.3,106.6,12,7.3,7.8,3.3,2.0,3.0,100.6,238,3268,508,6.4,13,9,180,195,298,11,4,7.8,4.4,55,13,44.3,14.8,-53.33,195,298,65.4,2400,11,3.7,4,1.3,8.3,8.4,12.7,300.0,98.0,11,7.8,7.9,3.6,-76.93
4,Indianapolis Colts,2016,239,3239,597,5.4,10,3,196,221,347,17,7,6.2,4.1,68,22,42.7,9.7,16.3,221,347,63.7,2357,17,4.9,7,2.0,64,7.4,7.5,11.6,261.9,93.9,33,6.2,6.3,8.7,3.0,3.0,24.18,256,3625,586,6.2,8,5,214,229,347,17,3,7.1,4.7,70,22,47.0,8.0,-71.98,229,347,66.0,2591,17,4.9,3,0.9,7.7,8.3,11.7,287.9,102.0,17,7.1,7.7,4.7,-87.65
5,Buffalo Bills,2016,237,3093,562,5.5,5,2,182,164,274,10,3,5.7,5.3,72,20,38.1,5.2,26.64,164,274,59.9,1698,10,3.6,3,1.1,84,6.6,6.9,11.1,188.7,87.2,24,5.7,5.9,8.1,0.0,0.0,10.89,203,3160,560,5.6,12,6,191,180,288,10,6,6.9,4.0,75,23,38.6,10.9,-0.51,180,288,62.5,2180,10,3.5,6,2.1,8.3,8.0,13.2,242.2,91.5,30,6.9,6.6,9.4,-34.42
6,Dallas Cowboys,2016,223,3292,539,6.1,6,4,199,166,250,12,2,7.5,4.8,51,14,49.4,7.4,105.43,166,250,66.4,1970,12,4.8,2,0.8,53,8.1,8.7,12.2,246.3,103.9,11,7.5,8.1,4.2,2.0,2.0,87.44,140,2663,482,5.5,10,6,162,204,300,12,4,6.2,4.2,44,14,34.2,12.7,-13.77,204,300,68.0,1968,12,4.0,4,1.3,6.8,7.0,10.1,246.0,95.0,18,6.2,6.4,5.7,-30.18
7,New England Patriots,2016,217,3042,506,6.0,6,6,169,174,249,16,0,7.9,3.9,52,19,42.0,5.7,88.12,174,249,69.9,2111,16,6.4,0,0.0,63,8.9,10.2,12.7,263.9,118.8,17,7.9,9.1,6.4,1.0,1.0,115.15,132,2833,524,5.4,9,4,166,197,315,9,5,6.2,4.1,57,16,27.6,8.0,-23.24,197,315,62.5,2020,9,2.9,5,1.6,6.7,6.5,10.7,252.5,84.9,13,6.2,6.0,4.0,-36.37
8,Tennessee Titans,2016,217,3415,573,6.0,13,5,193,185,292,17,8,7.0,4.8,66,20,36.9,12.6,22.62,185,292,63.4,2117,17,5.8,8,2.7,60,7.5,7.5,11.9,235.2,94.2,12,7.0,6.9,3.9,1.0,1.0,33.49,226,3212,560,5.7,7,1,183,209,331,14,6,6.6,4.2,86,19,36.1,6.2,-21.02,209,331,63.1,2344,14,4.2,6,1.8,7.5,7.6,11.9,260.4,92.6,23,6.6,6.6,6.5,-48.83
9,Denver Broncos,2016,214,2910,557,5.2,13,7,169,187,310,12,6,6.2,3.8,71,20,35.2,12.0,-17.58,187,310,60.3,2039,12,3.9,6,1.9,69,7.0,6.9,11.6,226.6,86.3,20,6.2,6.1,6.1,2.0,2.0,7.26,166,2807,606,4.6,16,8,175,172,315,6,8,4.8,4.4,62,22,31.4,12.4,67.54,172,315,54.6,1650,6,1.9,8,2.5,5.7,5.0,10.5,183.3,67.2,28,4.8,4.1,8.2,43.43
