Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2007,Buffalo Sabres,3,Carolina Hurricanes,2
2007,Dallas Stars,3,Colorado Avalanche,2
2007,Ottawa Senators,4,Toronto Maple Leafs,1
2007,Tampa Bay Lightning,3,Atlanta Thrashers,2
2007,Vancouver Canucks,3,Detroit Red Wings,1
2007,Calgary Flames,1,Edmonton Oilers,3
2007,Colorado Avalanche,2,Minnesota Wild,3
2007,Chicago Blackhawks,8,Nashville Predators,6
2007,Washington Capitals,2,New York Rangers,5
2007,Toronto Maple Leafs,6,Ottawa Senators,0
2007,New York Islanders,3,Phoenix Coyotes,6
2007,Philadelphia Flyers,0,Pittsburgh Penguins,4
2007,St. Louis Blues,4,San Jose Sharks,5
2007,Los Angeles Kings,3,Anaheim Ducks,4
2007,Montreal Canadiens,4,Buffalo Sabres,5
2007,New Jersey Devils,4,Carolina Hurricanes,0
2007,Vancouver Canucks,3,Columbus Blue Jackets,2
2007,Boston Bruins,3,Florida Panthers,8
2007,Florida Panthers,0,Atlanta Thrashers,6
2007,Edmonton Oilers,1,Calgary Flames,2
2007,Columbus Blue Jackets,5,Chicago Blackhawks,4
2007,New Jersey Devils,1,Dallas Stars,3
2007,St. Louis Blues,1,Los Angeles Kings,4
2007,Nashville Predators,5,Minnesota Wild,6
2007,Buffalo Sabres,4,Ottawa Senators,3
2007,New York Rangers,5,Philadelphia Flyers,4
2007,Anaheim Ducks,2,Phoenix Coyotes,1
2007,Detroit Red Wings,2,Pittsburgh Penguins,0
2007,New York Islanders,0,San Jose Sharks,2
2007,Boston Bruins,3,Tampa Bay Lightning,2
2007,Montreal Canadiens,3,Toronto Maple Leafs,2
2007,Carolina Hurricanes,2,Washington Capitals,5
2007,Vancouver Canucks,2,Colorado Avalanche,3
2007,St. Louis Blues,0,Anaheim Ducks,2
2007,Phoenix Coyotes,1,Columbus Blue Jackets,5
2007,San Jose Sharks,4,Calgary Flames,1
2007,Atlanta Thrashers,1,Tampa Bay Lightning,0
2007,Florida Panthers,1,Toronto Maple Leafs,2
2007,New York Islanders,2,Los Angeles Kings,4
2007,Vancouver Canucks,1,Minnesota Wild,2
2007,Philadelphia Flyers,4,New York Rangers,2
2007,New York Islanders,5,Anaheim Ducks,4
2007,Boston Bruins,1,Atlanta Thrashers,4
2007,Phoenix Coyotes,2,Detroit Red Wings,9
2007,Carolina Hurricanes,3,Florida Panthers,6
2007,Montreal Canadiens,3,Philadelphia Flyers,1
2007,Nashville Predators,1,Chicago Blackhawks,3
2007,San Jose Sharks,4,Edmonton Oilers,6
2007,Dallas Stars,4,Los Angeles Kings,1
2007,Washington Capitals,2,Minnesota Wild,3
2007,Toronto Maple Leafs,6,New Jersey Devils,7
2007,Pittsburgh Penguins,6,New York Rangers,5
2007,Calgary Flames,1,Ottawa Senators,0
2007,Boston Bruins,2,St. Louis Blues,3
2007,Carolina Hurricanes,4,Atlanta Thrashers,3
2007,Buffalo Sabres,3,Detroit Red Wings,2
2007,Tampa Bay Lightning,2,Florida Panthers,3
2007,San Jose Sharks,6,Vancouver Canucks,4
2007,New York Rangers,4,Buffalo Sabres,7
2007,Edmonton Oilers,4,Colorado Avalanche,3
2007,Dallas Stars,4,Los Angeles Kings,1
2007,Columbus Blue Jackets,0,Minnesota Wild,5
2007,Ottawa Senators,3,Montreal Canadiens,2
2007,Philadelphia Flyers,2,New Jersey Devils,3
2007,Phoenix Coyotes,1,Nashville Predators,4
2007,Boston Bruins,1,New York Islanders,4
2007,Carolina Hurricanes,5,Pittsburgh Penguins,1
2007,Chicago Blackhawks,3,St. Louis Blues,4
2007,Florida Panthers,1,Tampa Bay Lightning,4
2007,Calgary Flames,4,Toronto Maple Leafs,5
2007,Atlanta Thrashers,4,Washington Capitals,3
2007,Dallas Stars,4,Anaheim Ducks,3
2007,Chicago Blackhawks,5,Colorado Avalanche,3
2007,Detroit Red Wings,3,Los Angeles Kings,1
2007,Nashville Predators,2,New York Islanders,1
2007,New Jersey Devils,2,New York Rangers,4
2007,Carolina Hurricanes,5,Tampa Bay Lightning,1
2007,Edmonton Oilers,1,Vancouver Canucks,2
2007,Philadelphia Flyers,1,Buffalo Sabres,9
2007,Vancouver Canucks,1,Edmonton Oilers,2
2007,Calgary Flames,4,Montreal Canadiens,5
2007,Dallas Stars,0,San Jose Sharks,2
2007,Phoenix Coyotes,5,St. Louis Blues,2
2007,Detroit Red Wings,1,Anaheim Ducks,4
2007,Montreal Canadiens,1,Chicago Blackhawks,2
2007,Minnesota Wild,2,Los Angeles Kings,1
2007,Nashville Predators,3,New York Rangers,0
2007,New Jersey Devils,2,Pittsburgh Penguins,1
2007,Colorado Avalanche,4,Toronto Maple Leafs,1
2007,Florida Panthers,2,Washington Capitals,5
2007,Washington Capitals,3,Atlanta Thrashers,4
2007,Calgary Flames,2,Boston Bruins,3
2007,Nashville Predators,4,New Jersey Devils,3
2007,Pittsburgh Penguins,4,New York Islanders,3
2007,Colorado Avalanche,2,Ottawa Senators,1
2007,Los Angeles Kings,4,Phoenix Coyotes,0
