index,Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
0,2016,Vancouver Canucks,5,Calgary Flames,1
1,2016,New York Rangers,3,Chicago Blackhawks,2
2,2016,San Jose Sharks,5,Los Angeles Kings,1
3,2016,Montreal Canadiens,3,Toronto Maple Leafs,1
4,2016,Winnipeg Jets,6,Boston Bruins,2
5,2016,Ottawa Senators,3,Buffalo Sabres,1
6,2016,Minnesota Wild,5,Colorado Avalanche,4
7,2016,Pittsburgh Penguins,0,Dallas Stars,3
8,2016,Carolina Hurricanes,1,Nashville Predators,2
9,2016,Edmonton Oilers,1,St. Louis Blues,3
10,2016,Philadelphia Flyers,2,Tampa Bay Lightning,3
11,2016,New York Rangers,4,Columbus Blue Jackets,2
12,2016,Toronto Maple Leafs,0,Detroit Red Wings,4
13,2016,Arizona Coyotes,4,Los Angeles Kings,1
14,2016,Winnipeg Jets,3,New Jersey Devils,1
15,2016,Chicago Blackhawks,3,New York Islanders,2
16,2016,Pittsburgh Penguins,1,Arizona Coyotes,2
17,2016,Montreal Canadiens,4,Boston Bruins,2
18,2016,Tampa Bay Lightning,4,Buffalo Sabres,1
19,2016,Detroit Red Wings,4,Carolina Hurricanes,3
20,2016,New York Islanders,1,Chicago Blackhawks,4
21,2016,Dallas Stars,3,Colorado Avalanche,6
22,2016,Philadelphia Flyers,1,Florida Panthers,7
23,2016,St. Louis Blues,2,Minnesota Wild,3
24,2016,Edmonton Oilers,0,Nashville Predators,2
25,2016,Columbus Blue Jackets,2,New York Rangers,5
26,2016,Anaheim Ducks,0,San Jose Sharks,2
27,2016,Ottawa Senators,5,Toronto Maple Leafs,4
28,2016,Calgary Flames,3,Vancouver Canucks,2
29,2016,New Jersey Devils,3,Washington Capitals,5
30,2016,Montreal Canadiens,3,Ottawa Senators,1
31,2016,Vancouver Canucks,2,Anaheim Ducks,1
32,2016,Tampa Bay Lightning,6,Boston Bruins,3
33,2016,Columbus Blue Jackets,2,Buffalo Sabres,4
34,2016,Winnipeg Jets,2,New York Islanders,4
35,2016,Florida Panthers,0,Philadelphia Flyers,1
36,2016,Florida Panthers,4,Carolina Hurricanes,1
37,2016,St. Louis Blues,4,Calgary Flames,3
38,2016,Edmonton Oilers,2,Dallas Stars,4
39,2016,Tampa Bay Lightning,1,Detroit Red Wings,3
40,2016,Vancouver Canucks,3,Los Angeles Kings,0
41,2016,Nashville Predators,3,New Jersey Devils,1
42,2016,Winnipeg Jets,4,New York Rangers,1
43,2016,Montreal Canadiens,3,Pittsburgh Penguins,2
44,2016,San Jose Sharks,5,Washington Capitals,0
45,2016,Arizona Coyotes,4,Anaheim Ducks,0
46,2016,Ottawa Senators,7,Columbus Blue Jackets,3
47,2016,Boston Bruins,6,Colorado Avalanche,2
48,2016,Chicago Blackhawks,0,Philadelphia Flyers,3
49,2016,Minnesota Wild,4,Arizona Coyotes,3
50,2016,St. Louis Blues,4,Edmonton Oilers,2
51,2016,Buffalo Sabres,2,Florida Panthers,3
52,2016,New York Rangers,0,Montreal Canadiens,3
53,2016,Nashville Predators,3,New York Islanders,4
54,2016,Ottawa Senators,0,Pittsburgh Penguins,2
55,2016,Dallas Stars,5,Tampa Bay Lightning,3
56,2016,Chicago Blackhawks,1,Washington Capitals,4
57,2016,Colorado Avalanche,3,Anaheim Ducks,0
58,2016,Toronto Maple Leafs,6,Columbus Blue Jackets,3
59,2016,Carolina Hurricanes,5,Detroit Red Wings,3
