ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,St. Louis Blues,5,Chicago Blackhawks,2,0,1,0.615010483164,2016-10-12
1,Calgary Flames,4,Edmonton Oilers,7,1,1,0.715063896571,2016-10-12
2,Toronto Maple Leafs,4,Ottawa Senators,5,1,1,0.559420784445,2016-10-12
3,Los Angeles Kings,1,San Jose Sharks,2,1,1,0.653309979688,2016-10-12
4,Montreal Canadiens,4,Buffalo Sabres,1,0,0,0.757056457287,2016-10-13
5,Boston Bruins,6,Columbus Blue Jackets,3,0,1,0.560526068747,2016-10-13
6,Anaheim Ducks,2,Dallas Stars,4,1,0,0.603482492416,2016-10-13
7,New Jersey Devils,1,Florida Panthers,2,1,0,0.513464288001,2016-10-13
8,New York Islanders,3,New York Rangers,5,1,1,0.837709840788,2016-10-13
9,Washington Capitals,2,Pittsburgh Penguins,3,1,0,0.510434566404,2016-10-13
10,Minnesota Wild,2,St. Louis Blues,3,1,0,0.553309575907,2016-10-13
11,Detroit Red Wings,4,Tampa Bay Lightning,6,1,1,0.680332536559,2016-10-13
12,Carolina Hurricanes,4,Winnipeg Jets,5,1,1,0.629122441186,2016-10-13
13,Edmonton Oilers,5,Calgary Flames,3,0,0,0.619886433063,2016-10-14
14,Philadelphia Flyers,4,Los Angeles Kings,2,0,1,0.606500170159,2016-10-14
15,Chicago Blackhawks,2,Nashville Predators,3,1,0,0.548982583947,2016-10-14
16,Philadelphia Flyers,3,Arizona Coyotes,4,1,0,0.551890040131,2016-10-15
17,San Jose Sharks,3,Columbus Blue Jackets,2,0,1,0.647993373576,2016-10-15
18,Nashville Predators,3,Chicago Blackhawks,5,1,1,0.651945408616,2016-10-15
19,Dallas Stars,5,Colorado Avalanche,6,1,1,0.548815890778,2016-10-15
20,Detroit Red Wings,1,Florida Panthers,4,1,1,0.573858774394,2016-10-15
21,Winnipeg Jets,3,Minnesota Wild,4,1,1,0.669472062367,2016-10-15
22,Montreal Canadiens,3,Ottawa Senators,4,1,0,0.669664423238,2016-10-15
23,Anaheim Ducks,2,Pittsburgh Penguins,3,1,1,0.56032371554,2016-10-15
24,New York Rangers,2,St. Louis Blues,3,1,0,0.71277576998,2016-10-15
25,New Jersey Devils,2,Tampa Bay Lightning,3,1,1,0.599604563451,2016-10-15
26,Boston Bruins,1,Toronto Maple Leafs,4,1,0,0.64684997835,2016-10-15
27,Calgary Flames,1,Vancouver Canucks,2,1,1,0.571345937166,2016-10-15
28,New York Islanders,1,Washington Capitals,2,1,1,0.72207642414,2016-10-15
29,Buffalo Sabres,6,Edmonton Oilers,2,0,1,0.680227835534,2016-10-16
30,Anaheim Ducks,2,New York Islanders,3,1,0,0.5595962988,2016-10-16
31,Carolina Hurricanes,3,Vancouver Canucks,4,1,0,0.517833597925,2016-10-16
32,Ottawa Senators,1,Detroit Red Wings,5,1,1,0.579391621273,2016-10-17
33,San Jose Sharks,4,New York Rangers,7,1,1,0.740111200769,2016-10-17
34,Colorado Avalanche,4,Pittsburgh Penguins,3,0,1,0.710461390913,2016-10-17
35,Boston Bruins,4,Winnipeg Jets,1,0,0,0.623754784778,2016-10-17
36,Buffalo Sabres,3,Calgary Flames,4,1,1,0.512555473513,2016-10-18
37,Philadelphia Flyers,4,Chicago Blackhawks,7,1,1,0.692158448989,2016-10-18
38,Carolina Hurricanes,2,Edmonton Oilers,3,1,1,0.636775862354,2016-10-18
39,Los Angeles Kings,3,Minnesota Wild,6,1,1,0.68347656179,2016-10-18
40,Pittsburgh Penguins,0,Montreal Canadiens,4,1,1,0.694221614943,2016-10-18
41,Anaheim Ducks,1,New Jersey Devils,2,1,1,0.5940990592,2016-10-18
42,Dallas Stars,2,Nashville Predators,1,0,1,0.631383500152,2016-10-18
43,San Jose Sharks,3,New York Islanders,2,0,0,0.593684717423,2016-10-18
44,Arizona Coyotes,4,Ottawa Senators,7,1,1,0.699314947106,2016-10-18
45,Florida Panthers,3,Tampa Bay Lightning,4,1,1,0.662221171086,2016-10-18
