,Tm,Season_Yr,W,L,OL,PTS_Perc,GF,GA,SOW,SOL,SRS,SOS,TG_Per_G,PP,PPO,PP_Perc,PPA,PPOA,PK_Perc,SH,SHA,S,S_Perc,SA,SV_Perc
0,Montreal Canadiens,2017,13,2,2,0.824,56,38,0.0,1.0,1.02,-0.04,5.53,12,51,23.53,12,67,82.09,2,1,482,11.6,555,0.933
1,New York Rangers,2017,13,4,0,0.765,72,38,0.0,0.0,1.81,-0.19,6.47,13,54,24.07,7,47,85.11,2,0,494,14.6,497,0.926
2,Chicago Blackhawks,2017,11,4,2,0.706,54,43,1.0,1.0,0.52,-0.13,5.71,12,66,18.18,17,52,67.31,0,3,492,10.8,522,0.923
3,Tampa Bay Lightning,2017,11,6,1,0.639,58,46,1.0,1.0,0.72,0.06,5.78,18,70,25.71,9,56,83.93,1,1,561,10.2,543,0.921
4,Washington Capitals,2017,10,4,2,0.688,45,37,0.0,1.0,0.5,0.0,5.13,7,49,14.29,8,48,83.33,2,1,494,9.1,441,0.925
5,Pittsburgh Penguins,2017,10,4,2,0.688,48,46,1.0,0.0,0.22,0.09,5.88,13,55,23.64,12,63,80.95,1,1,510,9.2,543,0.917
6,Anaheim Ducks,2017,9,6,3,0.583,48,43,0.0,0.0,0.19,-0.08,5.06,13,60,21.67,9,65,86.15,3,2,509,9.4,516,0.917
7,New Jersey Devils,2017,9,4,3,0.656,39,34,1.0,0.0,0.32,0.01,4.56,7,54,12.96,9,48,81.25,1,0,503,7.6,479,0.929
8,St. Louis Blues,2017,9,6,3,0.583,44,50,0.0,1.0,-0.23,0.11,5.22,14,63,22.22,7,74,90.54,0,1,530,8.3,475,0.903
9,Ottawa Senators,2017,10,6,1,0.618,39,42,3.0,0.0,-0.44,-0.27,4.76,5,51,9.8,6,52,88.46,2,1,531,6.8,539,0.922
10,Boston Bruins,2017,10,7,0,0.588,41,39,1.0,0.0,0.56,0.44,4.71,7,54,12.96,10,64,84.38,1,3,547,7.3,477,0.918
11,Winnipeg Jets,2017,9,8,2,0.526,56,55,1.0,0.0,-0.04,-0.09,5.84,11,68,16.18,11,64,82.81,3,1,558,9.9,554,0.904
12,Philadelphia Flyers,2017,8,7,3,0.528,62,64,2.0,2.0,-0.18,-0.07,7.0,17,63,26.98,11,53,79.25,2,4,582,10.3,493,0.878
13,Minnesota Wild,2017,9,6,1,0.594,42,29,0.0,0.0,0.56,-0.25,4.44,6,47,12.77,6,50,88.0,2,0,462,9.1,490,0.943
14,Dallas Stars,2017,7,6,5,0.528,48,59,0.0,0.0,-0.61,0.0,5.94,13,72,18.06,14,63,77.78,1,4,513,9.4,567,0.898
15,Toronto Maple Leafs,2017,8,6,3,0.559,56,58,0.0,1.0,-0.1,0.02,6.71,9,47,19.15,8,52,84.62,1,1,554,10.1,576,0.901
16,Edmonton Oilers,2017,9,8,1,0.528,49,49,1.0,0.0,-0.11,-0.11,5.44,8,50,16.0,6,50,88.0,2,3,560,8.6,538,0.913
17,Columbus Blue Jackets,2017,8,4,2,0.643,47,33,0.0,0.0,1.14,0.14,5.71,12,39,30.77,7,44,84.09,0,0,377,12.5,453,0.934
18,San Jose Sharks,2017,9,8,0,0.529,39,39,0.0,0.0,0.15,0.15,4.59,9,53,16.98,5,42,88.1,0,1,508,7.7,434,0.915
19,Los Angeles Kings,2017,8,9,1,0.472,44,47,1.0,1.0,-0.21,-0.05,5.06,6,57,10.53,12,60,80.0,2,1,564,7.6,461,0.909
20,Nashville Predators,2017,7,6,3,0.531,46,44,0.0,2.0,-0.02,-0.15,5.63,13,59,22.03,10,54,81.48,2,3,496,9.3,492,0.919
21,Detroit Red Wings,2017,8,8,1,0.5,44,47,2.0,0.0,-0.05,0.13,5.35,11,63,17.46,12,52,76.92,1,2,480,8.8,542,0.919
22,Florida Panthers,2017,8,8,1,0.5,45,48,0.0,1.0,-0.01,0.16,5.47,9,61,14.75,9,52,82.69,2,1,518,8.7,489,0.906
23,Calgary Flames,2017,7,10,1,0.417,42,60,1.0,1.0,-1.05,-0.05,5.67,6,62,9.68,17,68,75.0,3,1,514,8.0,502,0.894
24,Vancouver Canucks,2017,7,10,1,0.417,38,57,1.0,1.0,-1.08,-0.03,5.28,6,55,10.91,9,51,82.35,1,1,531,7.0,507,0.899
25,Colorado Avalanche,2017,7,9,0,0.438,33,45,0.0,0.0,-0.78,-0.03,4.88,9,55,16.36,14,67,79.1,1,0,460,7.2,471,0.907
26,Buffalo Sabres,2017,5,8,4,0.412,31,45,0.0,2.0,-0.8,0.02,4.47,11,53,20.75,12,61,80.33,0,0,488,6.4,543,0.924
27,Carolina Hurricanes,2017,5,6,4,0.467,39,46,1.0,1.0,-0.46,0.01,5.67,9,47,19.15,4,42,90.48,1,3,451,8.4,410,0.895
28,New York Islanders,2017,5,8,3,0.406,40,51,0.0,2.0,-0.42,0.27,5.69,5,48,10.42,12,64,81.25,1,1,473,8.5,506,0.905
29,Arizona Coyotes,2017,5,9,2,0.375,41,54,1.0,0.0,-0.87,-0.06,5.94,6,47,12.77,12,48,75.0,3,2,454,8.8,531,0.902
