Miami Marlins - Atlanta Braves,2 12,2.23,1.7
Tampa Bay Rays - Baltimore Orioles,5 6,1.88,1.98
Arizona Diamondbacks - San Francisco Giants,4 5,1.71,2.22
Oakland Athletics - Texas Rangers,8 0,2.4,1.62
Houston Astros - Cleveland Indians,2 0,1.88,1.99
Cincinnati Reds - Pittsburgh Pirates,5 2,2.05,1.83
Kansas City Royals - Chicago White Sox,10 1,2.07,1.81
Los Angeles Dodgers - San Diego Padres,6 3,2.67,1.52
Miami Marlins - Atlanta Braves,1 2,2.3,1.67
Seattle Mariners - Los Angeles Angels,4 1,2.36,1.64
Washington Nationals - New York Mets,1 3,2.48,1.58
Tampa Bay Rays - Baltimore Orioles,2 6,2.11,1.78
Philadelphia Phillies - Boston Red Sox,0 8,1.9,1.96
Milwaukee Brewers - Colorado Rockies,0 10,2.32,1.66
Detroit Tigers - Minnesota Twins,4 0,2.38,1.63
New York Yankees - Toronto Blue Jays,1 6,2.19,1.73
Chicago Cubs - St.Louis Cardinals,0 3,1.99,1.88
Los Angeles Dodgers - Los Angeles Angels,6 6,2.17,1.72
Arizona Diamondbacks - Chicago Cubs,4 2,2.02,1.83
Houston Astros - Kansas City Royals,1 3,1.95,1.89
Oakland Athletics - San Francisco Giants,1 2,2.24,1.68
Atlanta Braves - Baltimore Orioles,5 3,2.07,1.79
Colorado Rockies - Seattle Mariners,3 6,1.93,1.91
Milwaukee Brewers - Cleveland Indians,4 3,2.04,1.81
Texas Rangers - New York Mets,4 4,1.89,1.96
Toronto Blue Jays - Cincinnati Reds,9 1,2.15,1.74
Minnesota Twins - Boston Red Sox,2 4,1.84,2.01
Philadelphia Phillies - Pittsburgh Pirates,6 4,1.9,1.94
Washington Nationals - New York Yankees,3 4,2.33,1.64
Tampa Bay Rays - Detroit Tigers,0 1,2.02,1.83
San Francisco Giants - Oakland Athletics,4 0,1.77,2.07
Los Angeles Angels - Los Angeles Dodgers,6 0,1.99,1.83
Seattle Mariners - Colorado Rockies,5 4,2.23,1.67
Arizona Diamondbacks - Chicago Cubs,5 1,1.89,1.94
Houston Astros - Kansas City Royals,1 11,1.94,1.89
Texas Rangers - New York Mets,0 5,1.86,1.97
Toronto Blue Jays - Cincinnati Reds,0 2,2.18,1.71
Boston Red Sox - Minnesota Twins,2 5,2.3,1.64
Philadelphia Phillies - Pittsburgh Pirates,7 5,1.8,2.06
Baltimore Orioles - Atlanta Braves,3 2,2.12,1.74
Cleveland Indians - Milwaukee Brewers,3 6,1.99,1.84
Detroit Tigers - Tampa Bay Rays,5 11,2.1,1.76
New York Yankees - Washington Nationals,2 8,1.77,2.1
San Francisco Giants - Oakland Athletics,2 8,1.84,2.0
Los Angeles Angels - Los Angeles Dodgers,3 2,1.98,1.86
Minnesota Twins - Boston Red Sox,5 8,1.86,1.97
Atlanta Braves - Baltimore Orioles,6 5,1.91,1.92
Arizona Diamondbacks - Chicago White Sox,10 2,1.96,1.87
Cincinnati Reds - Cleveland Indians,3 4,2.05,1.79
San Diego Padres - Milwaukee Brewers,6 5,2.22,1.68
Cleveland Indians - Detroit Tigers,6 9,1.89,1.95
Miami Marlins - Tampa Bay Rays,0 2,1.91,1.93
Oakland Athletics - Seattle Mariners,4 5,2.22,1.70
Chicago White Sox - Minnesota Twins,5 4,2.32,1.65
Cincinnati Reds - St.Louis Cardinals,1 4,2.06,1.80
New York Yankees - Boston Red Sox,4 8,1.95,1.89
San Diego Padres - San Francisco Giants,1 0,2.00,1.85
Los Angeles Angels - Kansas City Royals,2 4,2.12,1.76
Oakland Athletics - Seattle Mariners,12 0,1.96,1.89
Arizona Diamondbacks - Los Angeles Dodgers,4 3,1.83,2.03
Milwaukee Brewers - Pittsburgh Pirates,2 6,2.13,1.76
Atlanta Braves - New York Mets,5 3,1.84,2.00
Cincinnati Reds - St.Louis Cardinals,5 4,1.75,2.14
Miami Marlins - Tampa Bay Rays,10 9,2.05,1.81
New York Yankees - Boston Red Sox,5 6,1.93,1.91
Philadelphia Phillies - Washington Nationals,4 1,1.61,2.40
Chicago White Sox - Minnesota Twins,0 6,1.97,1.88
Cleveland Indians - Detroit Tigers,4 8,2.04,1.81
Colorado Rockies - Chicago Cubs,5 1,2.18,1.72
Texas Rangers - Houston Astros,1 5,1.96,1.88
Baltimore Orioles - Toronto Blue Jays,5 12,2.01,1.84
New York Yankees - Toronto Blue Jays,3 6,1.77,2.11
Philadelphia Phillies - Boston Red Sox,2 6,1.76,2.12
San Diego Padres - San Francisco Giants,0 1,2.13,1.75
Oakland Athletics - Texas Rangers,1 10,2.34,1.64
Houston Astros - Cleveland Indians,1 5,1.93,1.91
